Date,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga,Tarlac,Zambales,Angeles,Olongapo
"April 10, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 11, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 12, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 13, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 14, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 15, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 16, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 17, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 18, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 19, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 20, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 21, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 22, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 23, 2020",ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ
"April 24, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"April 25, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"April 26, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"April 27, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"April 28, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"April 29, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"April 30, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 1, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 2, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 3, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 4, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 5, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 6, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 7, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 8, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 9, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 10, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 11, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 12, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 13, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 14, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 15, 2020",GCQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE
"May 16, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 17, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 18, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 19, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 20, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 21, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 22, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 23, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 24, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 25, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 26, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 27, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 28, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 29, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 30, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"May 31, 2020",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
"June 1, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 2, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 3, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 4, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 5, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 6, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 7, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 8, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 9, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 10, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 11, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 12, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 13, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 14, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 15, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 16, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 17, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 18, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 19, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 20, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 21, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 22, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 23, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 24, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 25, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 26, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 27, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 28, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 29, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
"June 30, 2020",GCQ,GCQ,GCQ,MGCQ,MGCQ,GCQ,MGCQ,MGCQ,GCQ
